0, 231, 2, 398, 8
0, 726, 2, 774, 8
0, 657, 2, 775, 8
1, 882, 2, 4, 8
1, 945, 2, 14, 8
1, 991, 2, 94, 8
1, 493, 2, 280, 8
1, 571, 2, 330, 8
1, 345, 2, 463, 8
1, 397, 2, 503, 8
1, 697, 2, 524, 8
1, 488, 2, 647, 8
2, 34, 2, 458, 8
2, 189, 2, 574, 8
2, 141, 2, 593, 8
2, 447, 2, 762, 8
2, 481, 2, 792, 8
0, 369, 1, 21, 8
0, 610, 1, 287, 8
0, 816, 1, 474, 8
1, 171, 1, 520, 8
1, 452, 1, 708, 8
1, 116, 1, 809, 8
1, 256, 1, 902, 8
1, 518, 2, 169, 8
1, 384, 2, 335, 8
1, 1018, 2, 637, 8
1, 870, 2, 741, 8
1, 848, 2, 752, 8
1, 1074, 2, 801, 8
